domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,gpt,average,0.04512558869701727,0.9548744113029828
blog,chatgpt-roberta,gpt,average,0.11026295133437991,0.8897370486656202
blog,detectgpt,gpt,average,0.34471350078492935,0.6552864992150707
blog,fastdetectgpt,gpt,average,0.05453689167974883,0.9454631083202513
blog,gltr,gpt,average,0.33499607535321824,0.6650039246467818
blog,gpt2-base,gpt,average,0.10545525902668759,0.8945447409733124
blog,gpt2-large,gpt,average,0.1851177394034537,0.8148822605965463
blog,llmdet,gpt,average,0.739348508634223,0.2606514913657771
blog,radar,gpt,average,0.4821507064364207,0.5178492935635792
blog,zerogpt,gpt,average,0.18266483516483517,0.8173351648351648
email_content,binoculars,gpt,average,0.10897009966777409,0.891029900332226
email_content,chatgpt-roberta,gpt,average,0.11885382059800664,0.8811461794019934
email_content,detectgpt,gpt,average,0.21897840531561463,0.7810215946843854
email_content,fastdetectgpt,gpt,average,0.21040282392026577,0.7895971760797342
email_content,gltr,gpt,average,0.32909745293466225,0.6709025470653378
email_content,gpt2-base,gpt,average,0.3140019379844961,0.6859980620155038
email_content,gpt2-large,gpt,average,0.49837347729789594,0.5016265227021041
email_content,llmdet,gpt,average,0.8869601328903655,0.11303986710963454
email_content,radar,gpt,average,0.42313122923588037,0.5768687707641196
email_content,zerogpt,gpt,average,0.18117386489479514,0.8188261351052049
game_review,binoculars,gpt,average,0.1495551061678463,0.8504448938321537
game_review,chatgpt-roberta,gpt,average,0.16461071789686554,0.8353892821031345
game_review,detectgpt,gpt,average,0.4306774519716886,0.5693225480283114
game_review,fastdetectgpt,gpt,average,0.20618301314459048,0.7938169868554096
game_review,gltr,gpt,average,0.4734024266936299,0.5265975733063701
game_review,gpt2-base,gpt,average,0.30661274014155715,0.6933872598584429
game_review,gpt2-large,gpt,average,0.3366683518705763,0.6633316481294237
game_review,llmdet,gpt,average,0.8071334681496461,0.1928665318503539
game_review,radar,gpt,average,0.2882355915065723,0.7117644084934278
game_review,zerogpt,gpt,average,0.24285642062689586,0.7571435793731042
news,binoculars,gpt,average,0.07810503549245786,0.9218949645075422
news,chatgpt-roberta,gpt,average,0.674479628808045,0.32552037119195504
news,detectgpt,gpt,average,0.48561742088139603,0.514382579118604
news,fastdetectgpt,gpt,average,0.11904577048210588,0.8809542295178941
news,gltr,gpt,average,0.6365648107068914,0.3634351892931086
news,gpt2-base,gpt,average,0.12447094055013311,0.8755290594498669
news,gpt2-large,gpt,average,0.21821484028393967,0.7817851597160603
news,llmdet,gpt,average,0.7533745563442769,0.24662544365572317
news,radar,gpt,average,0.05234176279207335,0.9476582372079266
news,zerogpt,gpt,average,0.39891285862170955,0.6010871413782904
paper_abstract,binoculars,gpt,average,0.06931372549019607,0.9306862745098039
paper_abstract,chatgpt-roberta,gpt,average,0.0642156862745098,0.9357843137254902
paper_abstract,detectgpt,gpt,average,0.22245098039215688,0.7775490196078431
paper_abstract,fastdetectgpt,gpt,average,0.08421568627450982,0.9157843137254902
paper_abstract,gltr,gpt,average,0.09852941176470588,0.9014705882352941
paper_abstract,gpt2-base,gpt,average,0.12362745098039216,0.8763725490196078
paper_abstract,gpt2-large,gpt,average,0.26215686274509803,0.7378431372549019
paper_abstract,llmdet,gpt,average,0.4156862745098039,0.5843137254901961
paper_abstract,radar,gpt,average,0.0,1.0
paper_abstract,zerogpt,gpt,average,0.08431372549019608,0.9156862745098039
speech,binoculars,gpt,average,0.133125,0.866875
speech,chatgpt-roberta,gpt,average,0.3666666666666667,0.6333333333333333
speech,detectgpt,gpt,average,0.46395833333333336,0.5360416666666666
speech,fastdetectgpt,gpt,average,0.1322916666666667,0.8677083333333333
speech,gltr,gpt,average,0.5702083333333333,0.4297916666666667
speech,gpt2-base,gpt,average,0.3247916666666667,0.6752083333333333
speech,gpt2-large,gpt,average,0.26979166666666665,0.7302083333333333
speech,llmdet,gpt,average,0.785,0.21500000000000002
speech,radar,gpt,average,0.318125,0.681875
speech,zerogpt,gpt,average,0.4727083333333334,0.5272916666666666
